# music_dance timeline v1
# fps=100.227273
# n=14916
# duration_sec=148.822
# wav=V_ZionT_MR.wav
led,motor
0.120945,0.000000
0.151114,0.111197
0.238148,0.263875
0.433993,0.452240
0.534490,0.599023
0.576733,0.713402
0.596888,0.802531
0.611516,0.871985
0.624776,0.926105
0.637230,0.968279
0.639160,0.969041
0.648703,0.991134
0.657566,0.999725
0.665971,0.998213
0.671416,0.993803
0.665982,0.982962
0.653186,0.968322
0.628465,0.947367
0.591953,0.921673
0.565349,0.900940
0.546513,0.884990
0.544339,0.883480
0.662168,0.928923
0.735074,0.970475
0.733395,0.980035
0.720872,0.973717
0.699363,0.960907
0.664300,0.939081
0.616946,0.905993
0.567670,0.868542
0.512229,0.823369
0.453913,0.771847
0.397433,0.717432
0.345611,0.662241
0.296834,0.603363
0.255802,0.546458
0.227499,0.501548
0.218025,0.485147
0.214025,0.477494
0.240893,0.489458
0.474425,0.602914
0.686434,0.716434
0.786129,0.804894
0.828569,0.873826
0.847844,0.927540
0.858951,0.969397
0.869569,1.000000
0.875381,1.000000
0.879389,1.000000
0.881707,1.000000
0.876953,1.000000
0.861524,1.000000
0.829715,0.980394
0.775876,0.943141
0.717642,0.901218
0.662169,0.859048
0.607274,0.815236
0.560759,0.775531
0.522125,0.739995
0.503851,0.721115
0.492523,0.708839
0.479061,0.694521
0.452421,0.669249
0.417210,0.636271
0.380287,0.599745
0.344945,0.560185
0.311260,0.516997
0.278194,0.469918
0.247621,0.421167
0.220143,0.371713
0.195564,0.322480
0.175318,0.276280
0.158980,0.230833
0.148664,0.194461
0.143566,0.171850
0.141572,0.160449
0.140983,0.155292
0.188922,0.196223
0.298145,0.282410
0.372340,0.358853
0.369202,0.393462
0.358312,0.390416
0.340909,0.379132
0.318985,0.361307
0.295836,0.339802
0.269787,0.311653
0.241400,0.276044
0.213313,0.234314
0.186864,0.186893
0.166083,0.141573
0.150089,0.098263
0.138792,0.059893
0.132385,0.033732
0.129079,0.019488
0.128186,0.018890
0.139815,0.051105
0.322464,0.216097
0.647305,0.415010
0.808436,0.570012
0.807255,0.674274
0.786536,0.710302
0.758075,0.712377
0.725870,0.708238
0.690325,0.700163
0.651671,0.688201
0.607388,0.670015
0.559780,0.646867
0.509341,0.618720
0.456663,0.585522
0.402110,0.545896
0.347363,0.499572
0.299176,0.453051
0.262359,0.413719
0.237966,0.386630
0.225722,0.373623
0.449752,0.508952
0.658862,0.643215
0.749965,0.747839
0.784513,0.829366
0.796299,0.892895
0.799470,0.942400
0.797668,0.977970
0.802303,1.000000
0.805658,1.000000
0.805068,1.000000
0.788697,1.000000
0.774951,1.000000
0.755420,1.000000
0.713589,0.991023
0.652608,0.953442
0.592623,0.913633
0.537761,0.874219
0.486186,0.834454
0.451467,0.806256
0.428551,0.786957
0.415122,0.776211
0.402861,0.765419
0.386478,0.747033
0.375706,0.731731
0.365659,0.717597
0.355455,0.703757
0.343962,0.688129
0.333588,0.673118
0.325869,0.661520
0.314915,0.647264
0.300118,0.627853
0.280488,0.601471
0.257916,0.569177
0.233188,0.531134
0.210103,0.492633
0.194052,0.463120
0.186066,0.447210
0.281088,0.502172
0.565123,0.637932
0.723352,0.743722
0.799186,0.826158
0.838065,0.890200
0.849051,0.922256
0.846857,0.929355
0.833778,0.927725
0.827187,0.923423
0.830096,0.923486
0.828236,0.920775
0.811818,0.909277
0.784912,0.891110
0.749082,0.868004
0.713304,0.842813
0.669687,0.811281
0.632494,0.784776
0.603350,0.761224
0.580875,0.742042
0.577601,0.739758
0.767038,0.805631
0.917515,0.874400
0.960047,0.923241
0.954930,0.925656
0.935854,0.919527
0.913147,0.909405
0.879486,0.892323
0.839795,0.873316
0.796148,0.848291
0.746884,0.818320
0.693300,0.785689
0.642041,0.750391
0.587195,0.710033
0.530659,0.666068
0.479124,0.621733
0.435970,0.582198
0.403447,0.549426
0.376167,0.519785
0.383678,0.523407
0.402363,0.532446
0.393696,0.523335
0.377799,0.508123
0.362141,0.490536
0.346715,0.472715
0.328531,0.452265
0.310060,0.429040
0.291175,0.404287
0.274530,0.380673
0.258852,0.356921
0.243779,0.333739
0.231530,0.312375
0.215521,0.283340
0.203207,0.259688
0.200270,0.252412
0.202930,0.251320
0.239188,0.272929
0.320466,0.328045
0.635513,0.475892
0.894119,0.617453
