frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
191, 0, 6.333, 0.98, 1, 16.7, -37.0, 484.5, -0.024, 0.024, 0.020
192, 0, 6.367, 0.98, 1, 16.6, -36.9, 482.1, -0.028, 0.022, 0.020
193, 0, 6.400, 0.98, 1, 16.8, -37.0, 481.0, -0.027, 0.020, 0.019
194, 0, 6.433, 0.98, 1, 16.7, -37.2, 478.7, -0.028, 0.021, 0.016
195, 0, 6.467, 0.98, 1, 16.7, -37.4, 480.1, -0.022, 0.022, 0.015
196, 0, 6.500, 0.98, 1, 16.7, -37.4, 479.3, -0.026, 0.022, 0.018
197, 0, 6.533, 0.98, 1, 16.6, -37.4, 478.5, -0.020, 0.034, 0.025
198, 0, 6.567, 0.98, 1, 16.7, -37.0, 476.7, -0.018, 0.033, 0.027
199, 0, 6.600, 0.98, 1, 17.1, -36.9, 477.1, -0.019, 0.037, 0.024
200, 0, 6.633, 0.98, 1, 17.2, -36.5, 476.9, -0.014, 0.041, 0.028
201, 0, 6.667, 0.98, 1, 17.1, -36.2, 478.9, -0.013, 0.040, 0.032
202, 0, 6.700, 0.98, 1, 17.2, -36.1, 480.7, -0.016, 0.044, 0.034
203, 0, 6.733, 0.98, 1, 17.3, -36.1, 482.0, -0.013, 0.042, 0.035
204, 0, 6.767, 0.98, 1, 17.6, -35.9, 482.7, 0.001, 0.053, 0.034
205, 0, 6.800, 0.98, 1, 17.9, -35.1, 477.3, -0.003, 0.049, 0.032
206, 0, 6.833, 0.98, 1, 18.1, -35.0, 477.6, 0.011, 0.058, 0.032
207, 0, 6.867, 0.98, 1, 19.4, -34.6, 471.6, 0.026, 0.043, 0.021
208, 0, 6.900, 0.98, 1, 20.0, -34.7, 474.1, 0.027, 0.053, 0.022
209, 0, 6.933, 0.98, 1, 20.6, -34.3, 469.8, 0.026, 0.045, 0.021
210, 0, 6.967, 0.98, 1, 21.0, -33.7, 466.6, 0.029, 0.062, 0.020
211, 0, 7.000, 0.98, 1, 22.4, -33.5, 466.9, 0.018, 0.048, 0.026
212, 0, 7.033, 0.98, 1, 23.3, -33.2, 465.4, 0.019, 0.064, 0.025
213, 0, 7.067, 0.98, 1, 24.8, -33.1, 466.3, 0.008, 0.055, 0.026
214, 0, 7.100, 0.98, 1, 25.2, -33.1, 467.3, 0.018, 0.058, 0.031
215, 0, 7.133, 0.98, 1, 25.7, -33.3, 469.7, 0.021, 0.070, 0.031
216, 0, 7.167, 0.98, 1, 26.2, -33.6, 473.0, 0.020, 0.068, 0.034
217, 0, 7.200, 0.98, 1, 26.4, -33.4, 470.4, 0.012, 0.070, 0.038
218, 0, 7.233, 0.98, 1, 26.6, -33.3, 470.3, 0.009, 0.078, 0.036
219, 0, 7.267, 0.98, 1, 27.0, -33.2, 469.7, 0.007, 0.077, 0.047
